Emp ID,Employee_name,Gender,Date of Birth,Age in Yrs.,Weight in Kgs.,Year of Joining,Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region
677509,Lois Walker,F,3/29/1981,36.36,60,2003,168251,21%,467-99-4677,303-572-8492,Denver,Denver,Denver,CO,80224,West
940761,Brenda Robinson,F,7/31/1970,47.02,60,2008,51063,27%,537-71-4566,225-945-4954,Stonewall,De Soto,Stonewall,LA,71078,South
428945,Joe Robinson,M,6/16/1963,54.15,68,2016,50155,16%,025-92-3584,219-904-2161,Michigantown,Clinton,Michigantown,IN,46057,Midwest
408351,Diane Evans,F,12-04-1977,39.67,51,1999,180294,1%,314-35-9851,215-793-6791,Hydetown,Crawford,Hydetown,PA,16328,Northeast
193819,Benjamin Russell,M,4/17/1977,40.31,58,2013,117642,13%,121-98-7248,262-404-2252,Fremont,Waupaca,Fremont,WI,54940,Midwest
499687,Patrick Bailey,M,9/27/1982,34.86,58,2005,72305,5%,439-99-7721,319-812-6957,Macksburg,Madison,Macksburg,IA,50155,Midwest
539712,Nancy Baker,F,6/13/1995,22.14,50,2016,98189,0%,641-29-2071,229-336-5117,Atlanta,Fulton,Atlanta,GA,30334,South
380086,Carol Murphy,F,6/30/1958,59.12,40,1983,60918,20%,423-67-7023,216-336-0009,Blanchester,Clinton,Blanchester,OH,45107,Midwest
477616,Frances Young,F,06-09-1959,58.18,42,1994,121587,28%,028-92-8912,210-819-9765,Delmita,Starr,Delmita,TX,78536,South
162402,Diana Peterson,F,11/13/1987,29.73,60,2014,43010,4%,512-33-6767,479-783-5656,Eureka Springs,Carroll,Eureka Springs,AR,72632,South
231469,Ralph Flores,M,02-05-1975,42.5,80,2009,118457,8%,302-15-0130,316-280-2864,Sabetha,Nemaha,Sabetha,KS,66534,Midwest
153989,Jack Alexander,M,5/19/1995,22.21,61,2017,82965,23%,428-99-9413,702-603-3769,Las Vegas,Clark,Las Vegas,NV,89170,West
386158,Melissa King,F,2/24/1972,45.45,55,2015,166892,1%,277-17-9106,216-605-3731,New Matamoras,Washington,New Matamoras,OH,45767,Midwest
301576,Wayne Watson,M,6/26/1996,21.1,87,2017,92758,14%,011-94-6649,701-231-9370,Maida,Cavalier,Maida,ND,58255,Midwest
441771,Cheryl Scott,F,2/23/1958,59.47,47,1990,92220,12%,596-94-2279,215-288-9345,Quecreek,Somerset,Quecreek,PA,15555,Northeast
528509,Paula Diaz,F,8/22/1966,50.97,42,1994,152654,8%,234-57-7671,252-531-7641,Beulaville,Duplin,Beulaville,NC,28518,South
912990,Joshua Stewart,M,5/18/1970,47.23,68,2002,184896,1%,755-07-3676,217-279-9342,New Douglas,Madison,New Douglas,IL,62074,Midwest
214352,Theresa Lee,F,12-05-1992,24.66,59,2015,197537,1%,055-02-9969,319-553-8919,Toeterville,Mitchell,Toeterville,IA,50481,Midwest
890290,Julia Scott,F,7/15/1959,58.08,56,2005,141518,3%,251-99-1941,423-939-1010,Primm Springs,Hickman,Primm Springs,TN,38476,South
622406,Thomas Lewis,M,10-04-1967,49.85,73,1998,73862,3%,467-99-2604,314-679-3697,Dutchtown,Cape Girardeau,Dutchtown,MO,63745,Midwest
979607,Carol Edwards,F,12/14/1994,22.64,56,2016,93967,30%,316-35-9870,225-283-4295,Shreveport,Caddo,Shreveport,LA,71162,South
969580,Matthew Turner,M,10/26/1993,23.77,56,2016,52237,9%,598-92-1988,236-972-7624,Heathsville,Northumberland,Heathsville,VA,22473,South
426038,Joan Stewart,F,11/20/1972,44.72,56,2009,111673,12%,429-99-6443,216-637-6800,Middleport,Meigs,Middleport,OH,45760,Midwest
388642,Ruby Rogers,F,05-01-1980,37.27,59,2013,160623,9%,236-55-0172,423-231-6507,Woodbury,Cannon,Woodbury,TN,37190,South
560455,Carolyn Hayes,F,03-10-1958,59.42,53,2001,42005,14%,730-28-1350,239-882-8784,Saint Cloud,Osceola,Saint Cloud,FL,34771,South
477253,Anne Russell,F,7/29/1989,28.02,60,2013,103160,29%,456-99-5619,605-635-1306,Stockholm,Grant,Stockholm,SD,57264,Midwest
263480,Daniel Cooper,M,01-01-1990,27.59,60,2014,153790,13%,181-86-2024,701-510-8162,Manning,Dunn,Manning,ND,58642,Midwest
683826,Roger Roberts,M,07-07-1969,48.09,77,2009,129625,12%,120-98-6493,206-497-3141,Mount Vernon,Skagit,Mount Vernon,WA,98273,West
474599,Maria Walker,F,3/19/1975,42.39,41,1998,48944,21%,447-27-3175,423-668-5506,Lawrenceburg,Lawrence,Lawrenceburg,TN,38464,South
335732,Brenda Butler,F,12-06-1963,53.68,41,1987,60508,29%,282-15-6434,480-814-8284,Mesa,Maricopa,Mesa,AZ,85208,West
329752,Lillian Brown,F,05-12-1981,36.24,49,2015,67251,22%,249-99-8821,239-812-9041,Panacea,Wakulla,Panacea,FL,32346,South
893212,Amy Howard,F,6/16/1981,36.14,52,2003,112715,30%,686-24-2843,803-613-3168,Kline,Kline,Kline,SC,29814,South
621833,Gregory Edwards,M,8/31/1993,23.92,64,2015,169245,22%,010-94-6817,503-256-9654,Bonanza,Klamath,Bonanza,OR,97623,West
456747,Roy Griffin,M,05-08-1991,26.24,62,2012,170895,19%,358-08-7660,219-506-9378,Liberty,Union,Liberty,IN,47353,Midwest
278556,Richard Mitchell,M,7/28/1993,24.02,81,2016,122226,14%,013-94-5886,205-621-5884,Ohatchee,Calhoun,Ohatchee,AL,36271,South
333476,Mary Wilson,F,12-01-1967,49.69,54,1991,109394,16%,198-84-0652,423-937-8660,Nashville,Davidson,Nashville,TN,37219,South
218791,Aaron Price,M,02-10-1969,48.49,56,1997,54402,0%,491-29-5152,219-287-8926,Eckerty,Crawford,Eckerty,IN,47116,Midwest
134841,Donna Brown,F,9/14/1983,33.89,57,2013,129836,8%,544-81-5182,212-434-7910,Lima,Livingston,Lima,NY,14485,Northeast
726264,Carl Collins,M,12/22/1973,43.63,90,2007,162159,7%,544-81-6171,479-740-7633,Wright,Jefferson,Wright,AR,72182,South
766610,Joyce Jenkins,F,8/22/1961,55.97,44,2010,119321,13%,695-16-6506,262-455-4187,Ellsworth,Pierce,Ellsworth,WI,54011,Midwest
923947,Mary Bryant,F,6/21/1962,55.14,45,2004,155442,4%,491-29-7461,319-827-3516,Conroy,Iowa,Conroy,IA,52220,Midwest
227922,Amanda Hughes,F,7/29/1982,35.02,40,2007,114257,22%,311-35-2540,225-544-9700,Lake Charles,Calcasieu,Lake Charles,LA,70605,South
265813,Jack Campbell,M,01-04-1985,32.58,50,2007,186280,23%,047-15-1537,316-499-5737,Kalvesta,Kalvesta,Kalvesta,KS,67856,Midwest
247137,Alan Rivera,M,12-11-1978,38.65,80,2006,154810,12%,399-31-7149,423-277-6819,Knoxville,Knox,Knoxville,TN,37901,South
407061,Elizabeth Jackson,F,8/15/1964,52.99,56,2005,85420,24%,660-24-4434,603-568-6118,Rochester,Strafford,Rochester,NH,3867,Northeast
226714,Nancy Davis,F,11/14/1983,33.73,52,2012,94986,11%,224-99-5928,219-610-3067,Bowling Green,Clay,Bowling Green,IN,47833,Midwest
702813,Ernest Martinez,M,11-09-1989,27.73,53,2016,172098,8%,672-48-7749,479-951-4138,Uniontown,Crawford,Uniontown,AR,72955,South
524896,Judy Hernandez,F,3/25/1961,56.38,40,2011,133332,30%,534-71-4481,316-736-6126,Topeka,Shawnee,Topeka,KS,66606,Midwest
363065,Nancy Jones,F,11-10-1993,23.73,60,2015,61924,4%,681-24-3165,212-825-1930,New York City,New York,New York City,NY,10087,Northeast
879753,Pamela Wright,F,4/14/1996,21.3,47,2017,149262,9%,459-99-9201,307-329-8832,Banner,Sheridan,Banner,WY,82832,West
958326,Larry Miller,M,10/31/1988,28.76,75,2017,97904,20%,207-84-9482,217-574-9283,East Saint Louis,St. Clair,East Saint Louis,IL,62201,Midwest
447813,Ann Coleman,F,05-11-1989,28.23,41,2013,130014,12%,027-92-0557,319-994-4179,Hancock,Pottawattamie,Hancock,IA,51536,Midwest
525955,Judy Gonzales,F,6/17/1959,58.15,51,1992,149575,9%,029-92-2155,201-640-8645,Eatontown,Monmouth,Eatontown,NJ,7724,Northeast
818384,Peter Washington,M,11-06-1982,34.75,70,2009,173226,27%,039-74-8867,231-322-0316,Portage,Kalamazoo,Portage,MI,49024,Midwest
971640,Clarence Ross,M,12/13/1960,56.66,64,2008,165272,9%,372-37-5315,423-772-0118,Oneida,Scott,Oneida,TN,37841,South
253573,Sharon Lopez,F,05-04-1991,26.25,43,2014,190139,21%,064-02-2589,304-934-5548,Bartley,McDowell,Bartley,WV,24813,South
904898,Ann Cooper,F,12/25/1992,24.61,44,2017,182521,30%,219-89-6310,406-278-6460,Arlee,Lake,Arlee,MT,59821,West
515103,Anne Perez,F,05-05-1958,59.27,48,2003,114426,9%,594-99-9091,423-837-3338,Cookeville,Putnam,Cookeville,TN,38505,South
491943,Nancy Howard,F,05-05-1961,56.27,45,1999,101553,25%,035-74-2732,236-973-8086,Saxe,Charlotte,Saxe,VA,23967,South
750173,Antonio Roberts,M,8/27/1995,21.93,82,2017,181646,30%,281-15-7944,205-267-7304,Mc Calla,Jefferson,Mc Calla,AL,35111,South
687017,Frances Watson,F,1/30/1961,56.53,42,2010,46945,22%,305-37-1946,406-530-8069,Trego,Lincoln,Trego,MT,59934,West
